172.18.0.1 - - [29/Mar/2023:19:47:18 +0000] "\xFF\xED\xFF\xFD\x06" 400 150 "-" "-"
223.30.216.75 - - [29/Mar/2023:19:51:10 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.75 - - [29/Mar/2023:19:51:27 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:06:07:05 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:06:07:05 +0000] "GET /favicon.ico HTTP/1.1" 500 2539 "http://100.26.195.139/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
185.209.160.120 - - [30/Mar/2023:06:13:55 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 500 2539 "http://100.26.195.139:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0"
185.209.160.120 - - [30/Mar/2023:06:13:55 +0000] "" 400 0 "-" "-"
179.43.177.242 - - [30/Mar/2023:06:16:19 +0000] "GET / HTTP/1.1" 500 2539 "-" "Hello World"
3.239.75.36 - - [30/Mar/2023:06:48:45 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Windows NT 5.1; rv:38.0) Gecko/20100101 Firefox/38.0 SeaMonkey/2.35"
223.30.216.76 - - [30/Mar/2023:07:06:14 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:06:15 +0000] "GET /favicon.ico HTTP/1.1" 500 2539 "http://100.26.195.139/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:06:16 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:06:17 +0000] "GET /favicon.ico HTTP/1.1" 500 2539 "http://100.26.195.139/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:06:17 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:06:18 +0000] "GET /favicon.ico HTTP/1.1" 500 2539 "http://100.26.195.139/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:06:18 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
